,Number of Days Driven,Driver ID
0,56,002be0ffdc997bd5c50703158b7c2491
1,12,007f0389f9c7b03ef97098422f902e62
2,12,011e5c5dfc5c2c92501b8b24d47509bc
3,40,0152a2f305e71d26cc964f8d4411add9
4,40,01674381af7edd264113d4e6ed55ecda
5,0,01788cf817698fe68eaecd7eb18b2f72
6,25,0213f8b59219e32142711992ca4ec01f
7,17,021e5cd15ef0bb3ec20a12af99e142b3
8,42,0258e250ca195cc6258cbdc75aecd853
9,39,028b5a4dcd7f4924ebfabcf2e814c014
10,21,02d6a6b8a6da15fc219a9570f7ebbe78
11,14,02e440f6c209206375833cef02e0cbae
12,62,036f3d94e7c65e4e3574822d31c72656
13,24,039c5afbca8e03e4c18d9c8ea94140ac
14,43,039da9c077e17af98ca8530e4d7975f1
15,32,03f2b5c74cb89f39e58711699e76bf39
16,45,03f5278eb43475aa6790f5be32463755
17,8,0430df9a3eb327122c57ee3a64765000
18,13,04c4ffa5a385eab86fa7e422263d2999
19,29,04d686ef2fba281e395992a28f14fdd3
20,12,052bba06c5fc0bdea4bc2f9cb92b37c7
21,11,059ed570673c2d15ca11dd6b3a25513b
22,52,05addf442c147875efa5cf53453ad47b
23,14,05bad02e08c7f849e91dc1259da8b4ec
24,43,0656192a402808805282e60761bda088
25,7,06b1ba06e5505f8218ec8686498f990a
26,60,06c848ab3a7fc5421e82e98850a81710
27,39,07dd442e3e0b9f0f9b0d69c7b47cbb06
28,7,07e6a2fdaadc640cca9a7bec41351065
29,29,081d8ba3bc9a00a481df02bd9d0a4c53
30,15,0822973f3e812a68a867962dbbd37f5d
31,64,08a1491d6a804e0af969f08252ddbbd8
32,56,08b2b063cce8d02495c4b880293f153c
33,12,0938ed763cb3129ae63607aaf69daff5
34,6,0abc4faab8bbdf4d62412655fe0a2398
35,46,0afc0241296972b583debd7c5f5c707c
36,8,0b10af0ede0648dbe6ae05813c5cbf1b
37,60,0b631e16fa61f7321da18cf35a076d5f
38,56,0c02bd2b09f7193103279ab9b760b777
39,34,0ca501b2a1d72e80e0d0cd2c25bdd124
40,12,0d53c0441daccbb9022ccdcd2a58c7f7
41,50,0e7f0f05c7e193b1774c2e5713741cd4
42,46,0efa2b92642c1e6db77406bb3761baf4
43,11,0eff1404b137a5562642f0f706e59f25
44,11,0f057c0c73054f569a59a0880b91cbb0
45,57,0f346940b7c9dc770d408b1063ed2f81
46,51,100979abe35f7761f333bb7e63649767
47,42,10570128e114c22b855f1155b88fb379
48,10,10ab4d373b29fb6ee31ae2b7b39fc574
49,10,10d2c35bb4b440aa1eaf06d477ff27a6
50,4,1110d496149d3d8c50276765924df831
51,8,1127af601413f32c08e2a89447e5f3b9
52,64,113d6a61dd3bd21e5bc39bc19197f0f4
53,56,11506b81721ca68ef019764de3d8edbd
54,17,117ea72f13b43f0f4055b0472dcb6b1b
55,13,118be60e268514eb85f66ddb82bfa407
56,11,122972e7c73c944e744e6eca819d93e7
57,56,12933735316b452a5bc6a933d1a38124
58,10,133c19880625cbe91986ee3c402866cd
59,0,133faf644d5cfee9460b87eea4367f92
60,33,1340d44ca7946f4192cd80d8f47ce99b
61,0,136b51093f684e15e2798e4dc1e23d0c
62,0,13fe6713788e9b63f57950320f260512
63,9,14183e69946d782c92eb53b3c6eeb86f
64,0,146cd888491dd0f348575244f5bbc24e
65,8,148fb453d12992652b56d8bc2cfb1b78
66,10,156a150f1dbafbb01a786a5f45bdd7b6
67,0,1585fa96f0818e8f4d1cf826b332fda4
68,70,15e0ade28a7d24026b2fe91ef528ddf5
69,18,162441a5f1b85a5c3780686296c3bc75
70,14,163b1ac215580e695280d8f94c687ef4
71,50,1674103b16c39ab56a76884b7c2ca83e
72,55,1682c469cb12aa06b06d93ab87c3836a
73,0,1696be121baad60c7ca8a1c8164b24ad
74,16,16cd1e08be52741e1516cade45ae7754
75,59,17235b165b78a09be9cd7f9abc1e833a
76,6,173a168d2b8830525f59be85a35f0000
77,13,175540c364f94b6adbc0ce3541a3254a
78,4,179ef343f855d34fa0262c720cdb9a52
79,37,180284a755fb939181db32b838fd0720
80,21,1805f90c5220ac830835df3309a76e78
81,10,181396b71a4723deaa02c3dd3ffa9041
82,38,183336ca67d3257c34cb80c9bd4dfb34
83,15,186d02f3ae489428440a352e3fe503a4
84,61,187a5227c531151abd112eef1d104301
85,10,19029e596b5c3e45cc6b3cca0640fa58
86,46,1925803c42c264e21fdcf0a35fbd2107
87,53,1936275dcb0942dc60a378839fae4730
88,10,1936720ce0900cbff6d9114328c84bee
89,72,1989ad384dd8ab8f43fd19822c36aeac
90,44,19daceea26aeb211cb8bf28c8497b6c2
91,80,19e1cdfeaf90239d8585e6a78136a403
92,50,1a2af09b492ba2519c5b4aec478642a7
93,50,1aee4c95edf898beee1a8b49a1f898b0
94,40,1b51afba3b72e0259db160170f824f95
95,57,1b9ddecea8eb99bc37f9b0711546f1c0
96,9,1c4312919166a0e7cefe6b3ddf1ec9c6
97,9,1c44fab20b7f0804c11d88dc0554edf4
98,43,1c6e8fbca23da68279d93b2de6eaa3d1
99,4,1c95fcac4de21d077072da1ea1705eb5
100,0,1cf6fa07dcec364af2acf257b2d3731e
101,7,1cf95d6dd025d792340b623bcff18260
102,48,1d789a00290ec2e8a4ae1c704f671caf
103,43,1d7bc6daa163020694e2a5e636b96a0d
104,64,1d92784a09b1d1f85b05508e33261efb
105,45,1e836fdeba5bcacf45438c08bfcf4fa3
106,35,1e9570c1846c0f79c1ec103f608bc8ee
107,0,1e9b964b3e3d0289794289579269247a
108,11,1eb30783865c10a8abc395e1b73bd578
109,10,1ed175c60fdf7380fefc804bf4dd75f3
110,48,1f83b77c681720ce48d33c21083c27e0
111,9,1f8e4a81c9da3260c84f14483319a338
112,9,20f5672c1b6a59b9d5ec09a34ad90e9b
113,58,215263f9135bdd22b0e41659046b150d
114,42,21eb2a893ddf647ee9d307d873a697b7
115,37,220d2d2a94c58c0f7ee7cb1864d5f0c5
116,13,2231ec7a993e7ce92f79588ccc405e21
117,27,225fb2558cee416b136c9c9231824580
118,35,22ca9510a0c0d97ba66750530ee0e914
119,61,22d43c4cd79a3cbab663d9eadd1e5995
120,45,23017e4c03d224c89b5e3a0550e1bd9f
121,49,236af2c3c395a20fd53696a5634abd7b
122,0,23d3a2d0f6732d106fbc3d6079ac018d
123,28,23f2a72a48ef9f44301dbcfd69f8b3f0
124,50,2422c0748699c412f9759b2897484061
125,40,24708f36edaf58e1c50b06720b536b45
126,40,2494554e7702a28816717bc0cbf7d57b
127,43,24b79c598cb070bf049057bd529d3c86
128,17,24f805c6313acfbc2250cbfd90268b24
129,47,25061f5683655c7cc6e503eb0383c96e
130,32,25827d13d5d988125ef4cc8a2ea3ddc1
131,19,258e3bc5c82e3f687b4e999bc598374e
132,52,2678d03ea513d10988818e77c5915b75
133,0,268e15733721c4f3c10d9942e85a4859
134,66,26dd952cf82f0d354e4007476748a1dc
135,59,26efe85697b050171e2ac92d11f75605
136,52,272fc17e9698d95dda029e15b5546534
137,0,2736701b1fff80dc6ec8618309c76813
138,57,274a1e97df854e1590ae812ca9ee5ac7
139,9,276f6a36e30c69076c4cab7970ade946
140,0,28083e35d199d29c2a88502329af5f6d
141,11,281274ed70a896744065199c58462f3d
142,0,28a396a3e1793b64046aaaf8345604ec
143,9,28e4da66781b209cd9a299365a0dcab0
144,57,290c05b6d7e38c64bae2535b5d1d27f2
145,40,297e507cc9f1da096e51c2223657255b
146,15,299507a03373935d7a89a9fd6a6c0e46
147,56,29ca037d71b4a5934ae4528d050daeef
148,49,2a190f6b01dba26d00d3b644a268ba75
149,30,2a289b5c712e32bfb651b126cbe4e5bb
150,8,2a4afd4ab156dd0a6a0dc48bdf5d8db7
151,56,2aa41b072dc16081ebe60ad5b17f5a4c
152,42,2b1f99b4f3360623da8fdcd39828122e
153,8,2b4078909534095c15f578c588667bc9
154,39,2b77329ac116a3d1a5334c3fd54bd499
155,8,2ba51f9574a5c08327a718edada3e052
156,13,2ba60fe37b426385154d69d8eff687e1
157,0,2c00d6d77281fb9f97c1eb711f39b08d
158,40,2c130ea88372d326fb1a0719227627e3
159,7,2cc500616c927ce30d0bd1e87c699ef5
160,38,2d42e6d775b4399a56b71c2f3d6905ab
161,58,2d4c69afb7ac569a35a1c15fcecc1cb0
162,66,2da7874cc42c3c94f157bd3fd78369b6
163,39,2db4e5237ec8a271bd6269b5ddc9b422
164,76,2e4d5b1e1a62e56b3a8f887641379fe4
165,8,2e5d7b104b570a5cf450f6825880c9dc
166,6,2e882efad8288189f654defcd3dbcd64
167,5,2ebb15757eae00c4c491f569ca1a72a4
168,39,2ed0f3c071cdebf30186d2bf0a0c6151
169,36,2f29fdfd281552870b7f07152889e0fb
170,0,2f331eb33f5d186bdcfb8cd8e2eb1349
171,13,2f3773bd9dab0fa3e04c6f58dc0714a4
172,8,2f50e03ac03a920d1447b894643797f6
173,0,304fecb59756fb1d76c37ab927293da0
174,49,309320204754c3eeb2577949e870fe2d
175,17,30e91f4104a6b5b0450588d8febddd93
176,12,314d2be0d3461375f9e9ecf56b2b04ee
177,7,3155bb6b7fc081f2cccc4f50c9bea08e
178,4,31b451688ffc6f785c22bf74374507bc
179,14,329870cd7580c9efbc6b62073f89b90d
180,15,32b84f6d92b60badb7a8a6c47088151d
181,10,32d6b6b2ad34385519bd4492ce78eee4
182,54,336a98815390e16a5661d2570374d448
183,31,336c8ec2eb47bc1453b85ee78849038e
184,0,339a64370e18200c78fa15487f688c74
185,4,33b7762088cf5b82b8fe6fc291f93b6b
186,6,34699d5745d74c7076fd1ef051b795a9
187,5,3474d70dfe09a1d9545f436cd3f3136a
188,51,34784d7e4e1ee4869f10d9abeb4ad3fa
189,32,34c0cce7c3c34f9f6062b697637890b2
190,14,34e2c40d9d6f01ec4a0ffed4b032ec1e
191,0,352a72ac75c8886f94894f0cd77ef75d
192,56,3575446a7484516f5593add3ddd37451
193,11,35c3b0390b6f80657c53fb46b13f0a9e
194,14,35db61ddf8e29d55a2d355ed0f9166d8
195,14,35fa59db20f02b89264c5a97b94d7785
196,33,363f684a638dac345e67fbb78e492efc
197,17,367091701b7a57ef3e93c9fe2f6d3b3c
198,55,36de1e085fbd8f354dd3192571cece32
199,36,36df5bf5a89917fde3573e7c960c2097
200,37,370412f2a2747c1fdf8e807374c04a3d
201,10,370e9f95700973dd95508e2f39b2bd29
202,6,3777e15bb2eb838394a372e119d96462
203,56,3788dc9e91f1548816ce8b5af07ddadc
204,38,378f8bfcef6759b1e6b0e66b04424f54
205,16,37ac4f9379c836b08c9a6e2315fd66af
206,55,38510028b6d34d1b1339fa4e70783563
207,37,3857da988688981b67c878fc179eb0dc
208,37,387fb3e0e515f38826f70eb475a3bfb6
209,41,392e07cd00f38f357ae73795619fd0e3
210,33,392f50e58bee8a34399972bf0cb175d3
211,43,39a7bc235caf53556b15dd28ab5a7157
212,0,39b23365604d2633d74192b7131d6f67
213,42,39eedffe18d7ec6c53741f9d46c7ab51
214,31,3a1d9fb7a8cfd55ae38d1b4fb1520d1f
215,0,3a1e17213c1fda2fc6126425e8721a6d
216,59,3a52faf7577b389cbe9912652cbad33c
217,47,3af5c66b6800650cebac636822ac14c7
218,6,3b2dca5cc3db92a05ea35056887108b6
219,9,3b6ae24dc593e6609bf90a1b80630439
220,42,3b7f314bfe75abaa6718399d534ccf47
221,31,3b87648d266e62600ff719b691fd8562
222,8,3babf7dbd39edd11603dcd53e50dc050
223,53,3bfb185b9491beb56fc10b6212c6c9c2
224,50,3c69563a9561f995598ed81f1f5c331a
225,27,3caf85a7d6b8f5615fbc21e8310af584
226,69,3d2fa009a9f144706ad28ec9348f5960
227,52,3dad0a540eaab6fa876e4938d728efae
228,0,3dc5080a4b9299fbf31479ea751d562b
229,17,3dec7f876bb8b281df66b46469c79393
230,8,3e66ede2d283842c643b6b623d0ca168
231,22,3e8d06b82eb75b584564ce66217b3514
232,32,3f2ee0f16084bb99e8423807273c5816
233,35,3f62bb3b6a5ccddae37ff2fe3bfb3efd
234,40,3f79678c849eca6b438bb3d4bb59a5c6
235,43,3f82d353964869022a995e87b480a901
236,28,3fcdb7a637be76b45ad806d4f832c966
237,62,40061a1bbba0ff209c889094d24f6032
238,40,4008627b85a36afa46e22ecf513fc699
239,8,400daded5197f955191887cd567338ee
240,61,402ce9ac2db62fcb5fe29ba1d40566c7
241,33,4125bef57464803d018cacc1d3f08f74
242,42,415fbbda45a4a410e3122e3c992ace42
243,5,417055c67f5510da99ac623b02b87847
244,29,419eef26d8db5ccac04bf5d87af8059a
245,5,42256e33936dfa69088f540a720edc97
246,25,432754fe9722d008cd7328f34852de61
247,35,4343b3dc4ad77e98d38808b64003bee0
248,37,434adfc83c625f393595207cfff91ef2
249,66,440abd26a1c60ce02351bf1823d2d46d
250,50,44198b15df35d0827ebef271b6264727
251,63,443cf8f9119a8fc409780159c46d2de7
252,47,44509b1a5d4f1ad8350076d754ab1cb5
253,20,446b609957a142e8834dc88cebb7dee0
254,19,446ffe55730ace4059f02a4806018a08
255,69,44b7669c8f7ec8b8e592f150c7ee7fa2
256,10,44e9f61af64c2d25412a0f4532ada63c
257,0,453f29877d452cbb3e0df4922a816316
258,23,455ec8a8532948fe2c5e308af37216a1
259,64,456467f01492ee1aeb7707de5c725f1c
260,11,459af73e5a9d360ff51cf284c571f01b
261,38,45ebd51300bd4bcc529a11a855827db4
262,7,46b9dc30efea1755f8ada69668793bf5
263,32,46da643aa47256fef0822a2f288e115b
264,11,46e1da1c7fe0602747beb9fe6bbaf037
265,24,46fcd24790c5eae35fa517051024bfe7
266,49,4705afcfaac4e4bd293f613e3b01598f
267,36,4713aa4cef966a678af02897a0e74043
268,15,4742b3f8432af0165e291edc6b8c5e53
269,58,479c3dccc06056867dd10c7d9fa0f569
270,34,47d53cd40685a32d936cbde7760eb434
271,0,4856b892095f3afe8607a5ba0121b7b8
272,43,48e49f85bb962b1f77ed152cc32dcd0a
273,21,490a37e876eb5d48f8e56e0d99461b04
274,32,4952bdd8850792b72466848cb4930f10
275,49,49803452ad1a68e87b448f5129276bc2
276,41,4a07b94db0ec6615f30ace6efd2a19cb
277,7,4aa585f63fbe04dcded4019662cc47f8
278,35,4af132c905d92d74454ca4934ee2450a
279,18,4af6c062ca397fd6b7bd2fb2a91e5964
280,15,4b52c260ac5817566e61009e4bd23329
281,0,4bbf15c7280e29c1df6edd7bf6dfa56a
282,4,4bcc817c8aba8c5569e370b238831e77
283,0,4c17ad0240c5e0342da52b55a3c64a49
284,0,4c50a69869b14c84b1fd77ddeb7b0962
285,30,4c5f4c8887459671e65b68826fe750c3
286,34,4d10262d534bd366736dcabc8d37a3bb
287,35,4d1e99b879de5fa11e3f5423416f0497
288,39,4d40cd073132f01ccef7027f70890b6d
289,30,4dc7656f389d5cfcd38bf7870c1ce3e6
290,14,4dd633c46b8d78842b1e9dfb7f6a60e7
291,14,4e1fa948dc5295202fa8b7f8062b0d28
292,12,4e428667c6bb84323046e5647dfdfff0
293,0,4e4d07bdf390e67b633e62d3eaabd3dc
294,32,4e83cce03deeca174a87faaa046a4750
295,70,4e9bcae1e2305fe1e6b215cb82833e97
296,74,4eb382d1f7d50fae1294964263d1ce82
297,18,4f06c1412e8f2c16c96abb053997112f
298,51,4f3187e47f035afbd77a00d4cd536d7f
299,0,4f67a5d1152cd3f9f889d61779c27153
300,0,4fc9091d4e900a41a207ee32a639d658
301,43,50eadd94fd0152fd0638a915061c4c94
302,42,50ec87212107552181f769bdc522b63d
303,32,512ee3c7f8f9bfa6b7d3d824f5af228d
304,9,514da6a81ecbe7cd98fc71045c66aae1
305,36,5185567c0a5ec03eddbb003364c82b97
306,44,51a82cefe6d4e058ed392ea004572896
307,14,51b528390e8e7780595f6009b1f4cf72
308,0,52b193144c088d3aaf82dee6c4625155
309,9,52bc8ebc7db90d5b77453bf475677ebd
310,81,531a726b5b0c925a1aa24b5a9d5ac333
311,0,53b03eb76e7c0e268c027a6868b9394c
312,28,53e554eb940176c64fa8ee10a394f835
313,24,5420c76a41d255a40272c8f3c1f93c6a
314,20,5479187ed46c2c87abacde90f4d8ed6f
315,6,548a85a2fbb4986fd7a632566e8cb9c3
316,9,554a4f92c47ec3280d3ca64f5250b023
317,0,557b608dc1196be486e4928b62098895
318,0,55b69c895ca72127d05a48035328b345
319,47,55bec90600d21bd3513366d218f2b2f2
320,54,55d70545197fd2c5cc68f14f3d5d6585
321,7,55d7b17732745057aff29fcd0ce13014
322,37,561593fc7dd18e6a78c6ad5e7eef0061
323,38,569271b82c506166a23ffcfbf6f854f2
324,19,56bda1ed3f3299ff6e8465398a498a5b
325,8,5718c878f7879770af94d41951431983
326,0,5724816548576c2ccfcbd3d9d5072d23
327,0,5785f300b54051f8791ab00c424416a3
328,4,579967d1572ee95c66ffa1ca4077b61a
329,12,57c15602f0b088ce6b9e4f88edce149c
330,8,57c355d13a3bcfd36b3245d03f3f9d69
331,54,581129294fc7d1f43a4d1a372515dfaa
332,16,583740d998ccdf639276e797a6caa9df
333,46,585b09e7ee2164f95b134866f3f412fb
334,16,58d8c3038cd500e773aff605e28ce8a7
335,79,5943b68c2fa8bcfd0add30691fd9136b
336,8,5a22303ccd79309f5324acc7b0e751bf
337,45,5a4306be3d5e1d5481e9237d2d211cb6
338,48,5a880bc9cddbb3845438de87f859c360
339,35,5ae3c8ba3ae2b9230664674dadf8535a
340,29,5b33db9198566d3fcc5aa0bdeb435d2a
341,40,5bd37993cfff08be940348a466912238
342,12,5c00ecb439cd4e2377e9bb3de84b0e74
343,53,5cb230875b1a38b725085246444ffd0c
344,76,5ccc0e6dc9c7475caf785cdce7b8eb7a
345,73,5ceff5a3983505de6d021403c6975079
346,7,5cf93f7d1d3a8f0cf395c84053c31b1b
347,40,5cfe569d448c9a5e120ce15611e7c779
348,56,5cff9e4588a1d8b4b0fd703c4720421b
349,0,5dca331aca1913f495071f3352fed0a2
350,30,5dd7009f3d7f049d3e38b155ecd3a24e
351,23,5e37e705afb774452ab30d20b9561a0f
352,5,5e5bfc73736d6aa15ac33ea01d47e5ee
353,36,5e6bd3186b283c4e430332e1a3dd1b2e
354,48,5efe1190183936849880ece11b1ece77
355,6,5f34c8fc5bdd33f14bb71999b8286aef
356,66,5f946639378f9e31eee8b927dd743949
357,65,5fce375e4e5c673c29e652df1ac0b903
358,15,604097f005384ad20d982e7584f27c09
359,47,609970e669f2c55d69abc3cb117c47f6
360,37,60a524518de0ab4261b0e71ee7011d64
361,35,60f73dcab4a99269b597381b4958391f
362,55,619fb670865cb3e2583cc22fde1337f1
363,0,61e12b63003cde2efb3d1068853915d4
364,28,6241b9c147df1d0c7027321d4e1d53cf
365,27,62a95561a6b12acbf809772553ba1462
366,35,62aa54591b22be467c5a36356f96915b
367,37,62c83d1a137771a5c82433c8b3f7fddb
368,61,630559dc85053c746beafacbd590e8f0
369,42,633310975f38cbaf67eb5043b4c6c77c
370,20,6455eac21c029b8d93ff09c2dffcea35
371,57,646eba049df90f6bca2f51ce20004ac4
372,6,647bd8b8b02c285db177096a351f8e2c
373,0,64a4b6ed93e79d83422e5cfef3a1d01f
374,0,64c401a44c495c2adcc834a3db3de11f
375,39,64e245c2e3f5c7658bc062e9840c04dc
376,46,654c3e2ff69e4d6c9569212cbaf7af07
377,26,6580de4a0be125c140c30436c7c2c988
378,29,65b885fb53d0d952ed5be174c9c2d76d
379,30,65bacc9ccdbaf8341a7232d5cfdbb0bf
380,47,66290b00f9756a4c6808035244a4b9f6
381,38,6641cc5d8221699e7db3376fea5587ba
382,60,66f7bc876e24e26c5d71cb9a2a0e1222
383,40,67129f4eb32604d9e420da5bf6bb2469
384,24,671a36a580dd94c6a80d0dbe7fcaeabc
385,35,67771fd10458c38391b55774826e4c34
386,0,67b153d9a373c6b824954f5001e4769d
387,7,685a660507aba9066865ebfd62c48451
388,40,687ab6ec9da9f17ebd4d8665d1988e0f
389,80,689bdf87fb2de49f98bf4946cfaa5068
390,39,68a84d00f61c9fd6900cd12e662d43fa
391,2,68b546b2f4102641d6774c1ce4f57457
392,52,68c4e63e9663a4bd8d4e435601a26a37
393,0,68ec19c0d8af934976480dde7488ad83
394,12,691b99ebc7251c00edc12eab9232c0c4
395,40,699c387896f72e990239cbee1d81ff95
396,52,6a0b94ec26ca0805f971c293a9603887
397,30,6a190e3b2a68b2822a03fbd698f02604
398,23,6a464f9c764040d89517cb5ed9257953
399,18,6a4c652f46bc14c1c04eff3c67cabac0
400,49,6b0ba48a13c721f5fb766339a42d25f2
401,45,6b65c06851e944351dd285a1eb729499
402,8,6b941e22c8f9b2f159cce49fef9febff
403,12,6bc4ee6df691c3bed34c69aa93964ee9
404,47,6c0555804ebade45096a199f932e949e
405,34,6c1c6b6992a23fe80dc5377cba9cc2e4
406,58,6c5370105323176e4e88993943aa5b24
407,14,6c56118b534a5b446d1fd0eab7dc9b19
408,52,6c9d732cd0560af6e8939ac97bdd78d2
409,7,6cb35e276085548f3f095a85aa63af7b
410,5,6ccc2af7009dfea4572de788827ac5a1
411,7,6cdff0516a17236168522e0a270f4671
412,0,6d098c3af952e8ef82c0326b1891d993
413,15,6db38fccb3ac1de3981b701eb5a15d84
414,11,6df6c8f8d3c2a93314245a604c02bed1
415,48,6e70c2024934874d052225a4466fb9c1
416,2,6eb2e0f41fc9f1fbb70e7751035fdf87
417,19,6eb562641c6e0074c14ac265153ccda6
418,62,6f107d977e357e3d22036cc447b354b0
419,6,6f660e81330d77df19d4e3fb14b18730
420,52,6f739a076d7ba8ca414334af995fc44c
421,8,6f9156b8af78f1e7f4ce971b50cacf29
422,0,6fd27cb2ebf1142ff29f519e20567876
423,28,6ff443616dd01da842095c0939394baf
424,22,7023bf0fa91bea71ae7bfa2481fb5b90
425,34,7062cc9432dba19f5b474be707a73525
426,5,706466935b9e1d04e4e116be7ce90ea9
427,0,709d54382dc3259373f8ae6b2fac2415
428,24,71a4cd7ad9005409dc1bef838b488e6b
429,48,72118f61d16a22814cfe01fcffd0659f
430,47,72741692a0ac3fbd22820b0b278c4040
431,35,7287a688775698a457a560e1133aee0a
432,54,72ca99bb6667024a23e1f68904b06fd0
433,45,733e0653a13dd43c9b668b1825a2fecc
434,37,734e463e87289ed53edf3802a2cda9fe
435,21,7419cd5c573ff9994c0f8ff5d92b4408
436,0,74279b827e47bbddb5ba57863c174995
437,0,7470e87e7621f0e68c728a0431788a58
438,8,7473815d8eb56f765461525f1bf48c93
439,16,7476a4cdfe6cb9587f03db358dff548f
440,12,7481015e6b377191f3b1531bc74e6908
441,63,74d1c00ab5098202337a91c936b6e080
442,49,74de6f7e57690a1687935227360edf7f
443,31,750b2b9e0f4caa4539c2553a4d04fb6b
444,10,7553628edc729ab03cedd3ded8de8736
445,50,758f6d309376d24b53da45e91cf778cd
446,32,7596061dc6e3a61ec35e0307bf423838
447,44,75d8798826340198f4fd204ed31336ed
448,58,75ff47d4ba4bd4480629671a666500ba
449,29,762db27fc4dd1e53dd4fa982ae2162b4
450,14,764289a2931fb70d1d27d5603d49edd2
451,27,766fea0c4f0b265fe9ac9e1e4ec64ad7
452,26,7708f393e874acbdd44bbf47c9a328e9
453,35,773555b1cf65c9fa882fd9f6c50f44d4
454,40,775a910a05bbc12a236ec64d4109c37b
455,7,7767360462c03c38f487f16f57b02e02
456,41,779747a77c043096f6428413f26d25dc
457,36,77c589b9398709f398778a0ff368e00e
458,0,78477100f8d331a7b048b96a6a856fde
459,49,785d6109caeb2f53c0628c37b20d91cb
460,14,787fafc34f07b372b60981ccdc4018eb
461,0,78e0917f94fd9a5e81721b3d6a949891
462,61,793e2072826ee96904a5f03ae2357e96
463,0,794a74f41f18a115252fd26bbd16882b
464,33,7960373dbd5c93b4a066b352fea600ee
465,27,798b4cc659c984e8353c7a4f90936df1
466,8,7a1fd3df8aa8197bdb3be8c5d4ffa92d
467,49,7abb5ee55c03357b69af929f51443bb0
468,33,7abb74e551c262a945929b92e0551b04
